X 17/- 34/- 11/- 16/- X X 25/- 38/- X X X X 14/- 24/- 6/- X 23/- 16/- 27/- X
-/26 ? ? ? ? 14/- -/13 ? ? X X X -/7 ? ? ? -/19 ? ? ? 23/-
-/29 ? ? ? ? ? 3/17 ? ? X X X -/22 ? ? ? 29/25 ? ? ? ?
x 3/14 ? ? 21/18 ? ? ? ? X X X -/6 ? ? -/7 ? ? -/16 ? ?
-/14 ? ? ? ? 29/8 ? ? ? X X X -/4 ? ? 17/17 ? ? 10/9 ? ?
-/7 ? ? 8/17 ? ? 11/4 ? ? X X X 23/- 4/15 ? ? ? ? ? 6/- 4/-
x 13/- 8/23 ? ? ? ? ? ? 6/- 35/- 4/22 ? ? ? ? ? 9/7 ? ? ?
-/37 ? ? ? ? ? ? 33/- -/15 ? ? ? ? ? 39/27 ? ? ? ? ? ?
-/7 ? ? ? -/23 ? ? ? 13/15 ? ? ? ? 30/15 ? ? -/6 ? ? ? x
x x x x x x -/27 ? ? ? ? 34/24 ? ? ? x X X X X X
x x x x X x -/3 ? ? 30/30 ? ? ? ? ? x X X X X X
x x x X x x 35/33 ? ? ? ? ? 24/16 ? ? x X X X X X
x x 7/- 20/- 15/- -/26 ? ? ? ? 17/27 ? ? ? ? 8/- 29/- x 24/- 7/- 17/-
x 3/9 ? ? ? 18/9 ? ? 13/30 ? ? ? ? -/18 ? ? ? 21/18 ? ? ?
-/28 ? ? ? ? ? ? 35/34 ? ? ? ? ? 38/- 22/38 ? ? ? ? ? ?
-/6 ? ? ? 31/27 ? ? ? ? X X X -/32 ? ? ? ? ? ? 35/- 17/-
x 22/- 28/34 ? ? ? ? ? 30/- X X X -/5 ? ? 17/16 ? ? 30/16 ? ?
-/16 ? ? -/12 ? ? -/16 ? ? X X X -/18 ? ? ? 17/30 ? ? ? ?
-/9 ? ? 16/4 ? ? 15/9 ? ? X X X -/29 ? ? ? ? 9/16 ? ? 16/-
-/28 ? ? ? ? -/16 ? ? ? X X X -/11 ? ? -/31 ? ? ? ? ?
x -/24 ? ? ? -/24 ? ? ? X X X -/6 ? ? x -/30 ? ? ? ?
